,Algorithm,Generate KDTree (s),Query K=5 (s),Query K=10 (s),Query K=50 (s)
0,KDTree,13.69514297900605,0.0,0.0,0.0
1,cKDTree,5.555057404999388,5.109167475020513,7.070755174005171,20.352177630004007
2,sklearnKDTree,6.576532142993528,12.202256523014512,18.98146348199225,38.92041160698864
3,pyKDTree,0.4485673689923715,1.2940135940152686,1.8283947550226003,8.235127513995394
4,pyflannKDTree,0.9796801460033748,0.8409186780045275,1.2880561610218138,4.726238472008845
5,cyflannKDTree,0.8555742619792,0.8596616470022127,1.2368987319932785,4.833240805019159
